역대 박스오피스 검색 리스트 (통합전산망 집계 기준),,,,,,,,,
,,,,,,,,,
순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
87,추격자,2008-02-14,"33,986,959,000","5,046,096",433,"106,805",한국,한국,(주)쇼박스
88,인사이드 아웃,2015-07-09,"38,024,694,936","4,969,735",931,"84,000",미국,미국,월트디즈니컴퍼니코리아(주)
89,킹스맨: 골든 서클,2017-09-27,"40,987,484,736","4,945,484","1,687","95,922",미국,"미국,영국",이십세기폭스코리아(주)
90,바람과 함께 사라지다,2012-08-08,"34,614,720,161","4,909,950",694,"78,594",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
91,마션,2015-10-08,"39,672,140,595","4,881,865","1,132","114,225",미국,미국,이십세기폭스코리아(주)
92,토르: 라그나로크,2017-10-25,"39,248,432,595","4,857,152","1,640","137,477",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
93,어메이징 스파이더맨,2012-06-28,"41,165,656,235","4,853,273","1,118","92,766",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
94,"님아, 그 강을 건너지 마오",2014-11-27,"37,356,929,079","4,801,873",806,"93,385",한국,한국,"CGV아트하우스,(주)대명문화공장"
95,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"35,841,769,500","4,786,259",634,"84,189",한국,한국,(주)쇼박스
96,군도: 민란의 시대,2014-07-23,"36,990,394,499","4,775,811","1,394","67,259",한국,한국,(주)쇼박스
97,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"36,540,327,500","4,720,050",713,"91,892",한국,한국,(주)쇼박스
98,주토피아,2016-02-17,"37,096,057,742","4,706,158",735,"131,005",미국,미국,월트디즈니컴퍼니코리아(주)
99,엣지 오브 투모로우,2014-06-04,"38,732,961,201","4,699,307",801,"94,559",미국,미국,워너브러더스 코리아(주)
100,신세계,2013-02-21,"34,881,330,905","4,682,492",671,"90,581",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
101,신비한 동물사전,2016-11-16,"39,339,509,058","4,667,176","1,431","115,843",미국,"미국,영국",워너브러더스 코리아(주)
102,도가니,2011-09-22,"35,567,476,000","4,662,926",756,"88,345",한국,한국,씨제이이앤엠(주)
103,쿵푸 팬더,2008-06-05,"29,998,150,000","4,654,266",563,"79,902",미국,미국,씨제이엔터테인먼트
104,내 아내의 모든 것,2012-05-17,"34,224,467,500","4,598,985",563,"91,777",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
105,스파이더맨 3,2007-05-01,"29,511,658,000","4,592,309",806,"79,966",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
106,판도라,2016-12-07,"36,067,195,064","4,584,803","1,184","100,270",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
107,맘마미아!,2008-09-03,"29,688,925,850","4,578,239",451,"111,352",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
108,캐리비안의 해적: 세상의 끝에서,2007-05-23,"29,133,447,500","4,571,229",953,"78,007",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
109,가문의 위기(가문의 영광2),2005-09-07,"28,622,355,500","4,529,876",351,"61,009",한국,한국,(주)쇼박스
110,연가시,2012-07-05,"32,175,400,664","4,515,833",759,"71,928",한국,한국,씨제이이앤엠(주)
111,터미네이터 : 미래전쟁의 시작,2009-05-21,"29,690,943,500","4,499,776",702,"93,745",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
112,강철비,2017-12-14,"35,489,666,466","4,452,755","1,426","80,359",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
113,아이언맨 2,2010-04-29,"32,635,195,500","4,425,003",921,"87,665",미국,미국,씨제이엔터테인먼트
114,해리포터와 죽음의 성물2,2011-07-13,"34,668,545,500","4,421,210",757,"70,853",미국,미국,워너브러더스 코리아(주)
115,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,"34,654,558,766","4,313,871","1,056","82,722",미국,미국,이십세기폭스코리아(주)
116,강철중: 공공의 적 1-1,2008-06-19,"28,638,465,100","4,313,102",707,"74,158",한국,한국,"씨제이엔터테인먼트,(주)시네마서비스"
117,아이언맨,2008-04-30,"27,880,712,500","4,300,365",592,"78,269",미국,미국,씨제이엔터테인먼트
118,아가씨,2016-06-01,"35,219,128,991","4,288,750","1,171","90,380",한국,한국,씨제이이앤엠(주)
119,박물관이 살아있다!,2006-12-21,"24,401,542,200","4,245,247",345,"56,526",미국,미국,이십세기폭스코리아(주)
120,말아톤,2005-01-27,"26,285,057,000","4,196,859",238,"59,495",한국,한국,(주)쇼박스
121,다크 나이트,2008-08-06,"27,789,718,400","4,175,526",462,"68,394",미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
122,어메이징 스파이더맨 2,2014-04-23,"34,869,101,800","4,168,353","1,312","91,715",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
123,용의자,2013-12-24,"30,037,521,000","4,131,338",807,"69,124",한국,한국,(주)쇼박스
124,건축학개론,2012-03-22,"30,238,893,900","4,113,446",593,"106,576",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
125,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"26,689,440,000","4,111,753",771,"75,393",미국,미국,씨제이엔터테인먼트
126,미이라 3:황제의 무덤,2008-07-30,"26,217,311,000","4,090,885",634,"64,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
127,댄싱퀸,2012-01-18,"30,130,775,500","4,058,225",544,"80,987",한국,한국,씨제이이앤엠(주)
128,7급 공무원,2009-04-22,"26,380,710,000","4,039,891",475,"90,779",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
